Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-06,AARTIIND,EQ,1581.6,1581.0,1584.95,1558.25,1581.0,1577.1,1575.73,44084,6946435915000.001,6878,31742,0.72
2019-05-07,AARTIIND,EQ,1577.1,1587.0,1610.0,1587.0,1600.6,1599.5,1599.73,17792,2846235940000.0,2293,8746,0.4916
2019-05-08,AARTIIND,EQ,1599.5,1600.0,1603.95,1572.45,1581.0,1578.0,1580.64,28976,4580068935000.0,4641,18444,0.6365
2019-05-09,AARTIIND,EQ,1578.0,1564.0,1595.65,1533.1,1585.0,1590.95,1572.0,137494,21614007770000.0,9910,112098,0.8153
2019-05-10,AARTIIND,EQ,1590.95,1580.85,1592.0,1562.7,1584.0,1584.9,1582.55,39140,6194101240000.0,7578,22007,0.5623
2019-05-13,AARTIIND,EQ,1584.9,1584.9,1595.15,1536.15,1539.0,1548.75,1567.7,104193,16334362460000.0,25155,77163,0.7406
2019-05-14,AARTIIND,EQ,1548.75,1552.0,1566.2,1542.25,1555.0,1554.0,1558.35,114544,17850000225000.0,11141,91349,0.7975
2019-05-15,AARTIIND,EQ,1554.0,1579.0,1590.0,1555.0,1555.6,1560.15,1572.21,163854,25761318495000.0,10379,128933,0.7869
2019-05-16,AARTIIND,EQ,1560.15,1570.0,1580.3,1557.6,1560.1,1559.7,1569.48,83014,13028903550000.0,8850,70816,0.8531000000000001
2019-05-17,AARTIIND,EQ,1559.7,1577.9,1586.2,1564.0,1570.0,1576.75,1576.45,100765,15885091080000.002,9012,70389,0.6985
2019-05-20,AARTIIND,EQ,1576.75,1590.0,1668.9,1581.6,1622.0,1622.7,1625.87,197127,32050303355000.0,23994,129008,0.6544
2019-05-21,AARTIIND,EQ,1622.7,1644.0,1725.95,1644.0,1717.1,1717.35,1695.3,175336,29724682530000.0,17726,81443,0.4645
2019-05-22,AARTIIND,EQ,1717.35,1680.0,1710.0,1645.35,1690.0,1696.6,1680.97,141274,23747783230000.0,12427,56149,0.39740000000000003
2019-05-23,AARTIIND,EQ,1696.6,1730.0,1745.0,1715.1,1730.5,1728.1,1733.79,118759,20590285185000.0,13942,67143,0.5654
2019-05-24,AARTIIND,EQ,1728.1,1728.0,1805.25,1728.0,1802.15,1798.55,1771.42,205098,36331560115000.0,19328,151231,0.7373999999999999
2019-05-27,AARTIIND,EQ,1798.55,1800.0,1880.0,1800.0,1868.0,1868.05,1859.98,162910,30300970035000.004,16452,99192,0.6089
2019-05-28,AARTIIND,EQ,1868.05,1880.1,1899.0,1805.0,1827.0,1823.7,1853.3,118648,21989064615000.0,14294,59943,0.5052000000000001
2019-05-29,AARTIIND,EQ,1823.7,1800.0,1810.0,1744.4,1765.0,1777.4,1786.36,87067,15553338005000.002,10723,52254,0.6002000000000001
2019-05-30,AARTIIND,EQ,1777.4,1760.0,1850.0,1760.0,1850.0,1842.55,1829.71,134541,24617141075000.0,10256,52330,0.389
2019-05-31,AARTIIND,EQ,1842.55,1850.0,1876.55,1840.1,1867.0,1869.15,1865.61,76572,14285348965000.0,5656,38683,0.5052000000000001
2019-06-03,AARTIIND,EQ,1869.15,1879.85,1884.0,1855.1,1865.0,1863.9,1870.21,70953,13269698410000.0,6313,52991,0.7468000000000001
2019-06-04,AARTIIND,EQ,1863.9,1856.0,1870.0,1836.05,1849.0,1846.2,1849.74,44831,8292570484999.999,8550,25327,0.5649000000000001
2019-06-06,AARTIIND,EQ,1846.2,1855.0,1855.0,1764.0,1774.0,1770.1,1791.64,56540,10129957985000.0,8216,37744,0.6676000000000001
2019-06-07,AARTIIND,EQ,1770.1,1781.05,1813.5,1780.5,1785.0,1783.7,1790.07,63780,11417052725000.0,12536,37004,0.5802
