Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2020-12-11,13512.3,13579.35,13402.85,13513.85,787707481.0,336965700000.0,NIFTY 50
2020-12-14,13571.45,13597.5,13472.45,13558.15,558390043.0,281335800000.0,NIFTY 50
2020-12-15,13547.2,13589.65,13447.05,13567.85,497600393.0,308283300000.0,NIFTY 50
2020-12-16,13663.1,13692.35,13606.45,13682.7,462151091.0,274601800000.0,NIFTY 50
2020-12-17,13713.55,13773.25,13673.55,13740.7,416008520.0,277129300000.0,NIFTY 50
2020-12-18,13764.4,13772.85,13658.6,13760.55,519393189.0,348033000000.0,NIFTY 50
2020-12-21,13741.9,13777.5,13131.45,13328.4,687255400.0,382436200000.0,NIFTY 50
2020-12-22,13373.65,13492.05,13192.9,13466.3,696197300.0,363283300000.0,NIFTY 50
2020-12-23,13473.5,13619.45,13432.2,13601.1,458651819.0,270734500000.0,NIFTY 50
2020-12-24,13672.15,13771.75,13626.9,13749.25,471367730.0,247643500000.0,NIFTY 50
2020-12-28,13815.15,13885.3,13811.55,13873.2,403634030.0,209230600000.0,NIFTY 50
2020-12-29,13910.35,13967.6,13859.9,13932.6,439593961.0,251542300000.0,NIFTY 50
2020-12-30,13980.9,13997.0,13864.95,13981.95,380681073.0,246331200000.0,NIFTY 50
2020-12-31,13970.0,14024.85,13936.45,13981.75,452410109.0,263058200000.0,NIFTY 50
2019-01-01,28243.95,28252.2,27988.6,28111.65,100916543.0,23546000000.0,NIFTY NEXT 50
2019-01-02,28074.05,28188.4,27801.75,27876.95,167334185.0,34102800000.000004,NIFTY NEXT 50
2019-01-03,27874.05,28045.3,27630.2,27674.65,175238949.0,33622000000.0,NIFTY NEXT 50
2019-01-04,27707.2,27842.75,27533.9,27719.5,163387940.0,32950600000.0,NIFTY NEXT 50
2019-01-07,27893.95,27932.0,27652.95,27706.6,135700262.0,28620200000.0,NIFTY NEXT 50
2019-01-08,27726.75,27799.5,27625.8,27689.1,130644927.0,31525200000.0,NIFTY NEXT 50
2019-01-09,27780.05,27818.9,27470.9,27683.5,148827202.0,32272300000.0,NIFTY NEXT 50
2019-01-10,27719.4,27820.6,27675.95,27798.2,137215850.0,33302800000.000004,NIFTY NEXT 50
2019-01-11,27816.9,27842.0,27592.1,27707.55,108041758.0,27539699999.999996,NIFTY NEXT 50
2019-01-14,27653.7,27659.85,27391.65,27514.85,112371202.0,30712500000.0,NIFTY NEXT 50
2019-01-15,27603.25,27744.15,27574.25,27712.6,103197975.0,28671300000.0,NIFTY NEXT 50
2019-01-16,27740.15,27848.55,27677.5,27727.65,102816080.0,26885800000.0,NIFTY NEXT 50
2019-01-17,27779.35,27847.45,27619.85,27710.65,119276971.0,28183400000.0,NIFTY NEXT 50
